"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20"
"15830322",17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16793827",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"3092125",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"9554704",0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"23352160",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22495311",11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"22542183",7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25363760",8,1,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"29092799",2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
"24360806",12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25363768",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26401017",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26402605",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"25533962",21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25549968",6,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"16465618",6,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
"17562838",5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"20480396",5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
"24117009",1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"11121182",5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"11354825",4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"16258000",1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
"17340203",5,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0
"28714951",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4117384",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23356391",6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23818446",8,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28392909",11,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0
"22869036",4,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
"23275889",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28263302",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22495309",10,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,1,0,0
"23160955",19,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"27824329",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28333917",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28831199",9,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"21937992",8,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0
"28940097",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24531329",13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25169753",10,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"25178163",0,0,0,0,0,0,1,0,0,0,0,14,0,0,0,0,0,0,0,0
"25418537",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25646590",6,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"26168855",2,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0
"26637798",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26845707",8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27031564",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27479843",14,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"27848944",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28191889",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28407407",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29475819",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29899371",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"30564305",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18184569",0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"18832607",1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"18953346",0,0,1,0,3,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0
"19443488",0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0
"19565319",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7953635",2,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
"9262401",3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"21705486",1,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"16417856",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17175110",0,0,2,0,1,0,0,2,0,0,0,3,1,0,0,0,0,0,0,0
"17179741",0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"17199132",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17952055",2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0
"17962520",2,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,2,0
"18485874",0,0,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"20805681",4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8837779",0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
"9363896",1,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"1302001",6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"15471876",9,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0
"16403972",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26539891",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"6150139",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"10424820",5,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0
"21739600",6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22065534",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22511880",11,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"22773736",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23020937",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23092983",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23352163",5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"23849776",5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25035088",3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"26544041",7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"9034011",5,0,0,0,0,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0
"10588740",9,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
"20159561",4,0,0,0,0,1,1,0,0,0,0,3,0,0,0,1,0,0,0,0
"21330300",7,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0
"22495306",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22528490",0,0,0,0,0,0,0,0,0,0,0,5,1,2,0,0,0,0,0,0
"25730767",5,0,0,0,0,2,0,1,1,0,0,3,0,0,0,0,0,0,0,0
"26938441",12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12388557",7,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
"15381706",2,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
"15892143",13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16332543",3,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
"20531469",6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"23632794",8,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
"17363630",13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20797689",7,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"27667684",13,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"25356899",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27620904",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12089445",15,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0
"16769992",0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0
"22269148",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24791903",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25574029",1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0
"27841880",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28554332",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"29158550",4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29696776",4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
"15322546",7,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15467982",14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16244321",2,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"18636121",0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
"18782849",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18785627",1,0,0,2,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0
"18950740",16,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0
"20071346",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20081859",2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"20592197",2,0,1,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
"21959375",2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"22123816",0,0,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"23532844",3,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0
"24690944",13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25558065",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28097321",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
