"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15"
"15830322",0,0,0,0,0,0,19,0,1,0,0,2,0,0,0
"16793827",0,0,0,0,0,0,0,0,5,0,0,1,0,0,0
"3092125",0,0,0,0,0,0,0,0,1,0,0,5,0,1,0
"9554704",0,0,0,0,0,0,3,0,4,0,0,4,0,0,0
"23352160",0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
"22495311",0,0,0,0,0,0,11,0,0,0,0,0,0,0,1
"22542183",0,0,0,0,0,0,9,0,0,0,0,1,0,0,0
"25363760",0,1,0,0,0,3,9,0,0,0,0,1,0,0,0
"29092799",0,0,2,0,1,0,2,0,0,0,0,3,0,0,0
"24360806",0,0,0,0,0,0,14,0,0,0,0,0,0,0,0
"25363768",0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
"26401017",0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
"26402605",0,0,0,0,0,0,3,0,0,0,0,0,0,0,1
"25533962",2,1,0,0,0,2,14,0,0,0,2,3,0,0,0
"25549968",0,0,0,0,0,0,9,0,0,0,0,0,0,0,1
"16465618",0,0,0,0,0,1,6,0,0,0,1,1,0,0,0
"17562838",2,0,0,0,0,0,8,0,0,0,1,1,0,0,0
"20480396",0,0,0,0,0,0,7,0,0,0,1,4,0,0,0
"24117009",0,0,0,0,0,0,4,0,0,0,0,1,0,0,0
"11121182",0,0,0,0,1,0,7,0,0,0,0,1,0,0,0
"11354825",0,0,0,0,1,0,9,0,0,0,0,0,0,0,0
"16258000",0,0,0,0,1,0,1,0,0,0,0,4,0,0,0
"17340203",0,0,0,0,1,0,7,0,0,0,0,0,0,0,0
"28714951",0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
"4117384",0,0,0,0,0,0,4,0,3,0,0,0,0,0,0
"23356391",0,0,0,0,0,0,9,0,0,0,0,0,0,0,2
"23818446",0,0,0,0,0,1,12,0,0,0,0,0,0,0,5
"28392909",1,0,1,0,1,1,14,0,0,0,0,3,0,0,0
"22869036",0,0,0,0,6,0,6,0,0,0,0,2,0,0,0
"23275889",0,0,0,0,0,0,11,0,0,0,0,0,0,0,0
"28263302",0,0,0,0,0,0,10,0,0,0,0,1,0,0,0
"22495309",0,0,0,0,0,0,10,0,0,0,2,3,0,2,1
"23160955",0,1,0,0,0,1,18,0,0,0,0,2,0,0,0
"27824329",0,0,0,0,0,0,11,0,0,0,0,0,0,0,0
"28333917",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"28831199",0,0,0,0,0,0,12,0,0,0,0,0,0,0,0
"21937992",0,0,0,0,1,0,11,0,0,0,0,2,0,0,0
"28940097",0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
"24531329",0,0,1,0,0,3,14,0,0,0,0,0,0,0,0
"25169753",1,1,0,0,0,0,8,0,1,0,0,1,0,0,0
"25178163",0,0,0,0,0,0,3,0,0,0,0,13,0,0,0
"25418537",0,1,1,0,0,0,11,0,0,0,0,0,0,0,0
"25646590",0,0,0,0,0,0,7,0,0,0,1,3,0,0,0
"26168855",0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
"26637798",0,1,0,0,0,0,7,0,0,0,0,0,0,2,0
"26845707",0,0,0,0,0,0,8,0,0,0,0,1,0,0,0
"27031564",0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
"27479843",0,1,2,0,0,0,8,0,0,0,2,3,0,0,0
"27848944",0,0,1,0,0,0,7,0,0,0,1,2,0,2,0
"28191889",0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
"28407407",0,2,0,0,0,0,5,0,0,0,0,0,0,0,0
"29475819",0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
"29899371",0,0,0,0,0,0,8,0,0,0,0,0,0,0,1
"30564305",0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
"18184569",0,0,0,0,0,0,0,0,3,0,0,11,0,0,0
"18832607",0,0,0,0,0,1,1,0,1,0,0,2,0,0,0
"18953346",0,0,0,0,0,0,1,0,5,0,0,13,0,0,0
"19443488",0,0,0,0,0,0,1,0,2,0,1,3,0,1,0
"19565319",0,0,0,0,0,0,6,0,0,0,0,1,0,0,0
"7953635",0,0,0,0,0,1,6,0,1,0,0,2,0,0,0
"9262401",0,0,0,0,0,0,7,0,2,0,0,1,0,0,0
"21705486",0,0,0,0,0,0,2,0,0,0,0,5,0,0,0
"16417856",0,0,0,0,0,0,11,0,0,0,1,0,0,0,0
"17175110",0,0,0,0,0,0,1,0,0,0,0,9,0,1,0
"17179741",0,1,0,0,0,0,2,0,0,0,0,3,0,7,0
"17199132",0,0,0,0,0,0,10,0,0,0,0,1,0,0,0
"17952055",0,0,0,0,0,0,4,0,0,0,1,1,0,0,0
"17962520",0,0,0,0,0,1,4,0,0,0,2,3,0,0,0
"18485874",0,1,0,0,0,0,2,0,0,0,0,4,0,0,0
"20805681",0,0,0,0,0,0,7,0,0,0,0,2,0,0,0
"8837779",0,0,0,0,0,0,1,0,0,0,0,6,0,0,0
"9363896",0,0,0,0,0,0,2,0,0,0,1,2,0,2,0
"1302001",0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
"15471876",0,0,0,0,0,0,13,1,0,0,1,3,0,0,0
"16403972",0,0,0,0,1,0,6,0,0,0,0,2,0,0,0
"26539891",0,0,0,0,0,0,6,0,0,0,0,1,0,0,0
"6150139",0,0,0,0,0,0,1,0,0,0,0,2,0,0,0
"10424820",0,0,0,0,0,0,7,0,0,0,0,1,0,0,0
"21739600",0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
"22065534",0,0,0,0,0,0,8,0,0,0,1,0,0,0,0
"22511880",0,0,1,0,1,1,10,0,0,0,1,3,0,0,0
"22773736",0,0,1,0,0,0,11,0,0,0,0,0,0,0,0
"23020937",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"23092983",0,0,0,0,0,0,12,0,0,0,1,0,0,0,0
"23352163",0,0,0,0,0,0,6,0,0,0,0,2,0,0,0
"23849776",0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
"25035088",0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
"26544041",0,0,0,0,0,0,9,0,0,0,1,2,0,0,0
"9034011",0,0,0,0,0,1,9,0,0,0,0,2,0,0,0
"10588740",0,4,0,0,0,0,14,0,0,0,0,0,0,0,0
"20159561",0,4,1,0,0,3,7,0,0,0,0,2,0,0,0
"21330300",0,0,1,0,0,1,10,0,0,0,0,3,0,0,0
"22495306",0,0,0,0,0,0,12,0,0,0,0,0,0,2,0
"22528490",0,0,0,0,0,1,3,0,0,0,0,4,0,1,1
"25730767",0,3,1,0,0,3,5,0,0,0,0,2,0,0,0
"26938441",0,1,0,0,0,4,8,0,0,0,0,0,0,0,0
"12388557",0,0,0,0,0,0,10,0,0,0,0,2,0,0,0
"15381706",0,0,0,0,0,0,7,0,0,0,0,14,0,1,0
"15892143",0,0,0,0,0,0,14,0,0,0,0,1,0,0,0
"16332543",0,0,0,0,0,0,4,0,0,0,0,5,0,0,0
"20531469",0,0,0,0,0,0,7,0,0,0,0,2,0,0,0
"23632794",0,0,0,0,0,1,12,0,0,0,0,0,0,0,0
"17363630",0,1,0,0,0,0,14,0,0,0,0,0,0,0,0
"20797689",0,0,0,0,1,0,5,0,0,0,0,3,0,0,0
"27667684",0,0,0,0,0,2,13,0,0,0,0,3,0,0,0
"25356899",0,0,1,0,0,0,9,0,0,0,0,0,0,0,0
"27620904",0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
"12089445",0,0,0,0,0,1,16,0,0,0,0,3,0,0,0
"16769992",0,0,0,0,1,1,3,0,0,0,0,6,0,1,0
"22269148",0,0,0,0,0,0,9,0,0,0,0,1,0,0,0
"24791903",0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
"25574029",0,0,0,0,0,1,4,2,0,0,0,1,0,0,0
"27841880",0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
"28554332",0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
"29158550",0,0,0,0,0,0,7,0,0,0,1,1,0,0,0
"29696776",0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
"15322546",0,0,0,0,0,1,7,0,0,0,0,3,0,1,0
"15467982",0,0,1,0,0,1,11,0,0,0,0,4,0,0,0
"16244321",0,0,0,0,0,0,3,0,0,0,0,3,0,0,0
"18636121",0,0,0,0,0,0,1,0,0,0,1,8,0,1,0
"18782849",0,0,0,0,0,0,5,0,0,0,0,3,0,0,0
"18785627",1,0,1,0,0,0,5,0,0,0,1,3,0,0,0
"18950740",0,0,0,0,0,0,17,0,0,0,2,4,0,0,1
"20071346",0,0,0,0,0,0,4,0,0,0,0,2,0,0,0
"20081859",0,0,1,0,0,0,2,0,0,0,3,1,0,0,0
"20592197",1,0,1,0,0,0,2,0,0,0,3,2,0,1,0
"21959375",0,0,1,0,0,0,4,0,0,0,1,3,0,0,0
"22123816",0,0,0,0,0,0,2,0,0,0,1,3,0,1,1
"23532844",0,0,0,0,0,1,8,0,0,0,0,14,0,0,5
"24690944",0,0,0,0,0,0,13,0,0,0,0,0,0,0,0
"25558065",0,0,0,0,0,1,9,0,0,0,0,0,0,0,0
"28097321",0,0,0,0,0,0,13,0,0,0,0,0,0,0,0
"23312594",0,1,0,0,0,1,10,0,0,0,0,1,0,0,0
"23646827",0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
"24024553",0,0,0,0,0,0,14,0,0,0,0,0,0,0,0
"24568872",0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
"12743223",0,0,0,0,0,0,9,0,0,0,0,1,0,0,0
"15341910",0,0,0,0,0,0,2,0,0,0,0,1,0,0,0
"1650448",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"27056292",0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
"8689400",0,2,0,0,0,0,2,0,0,0,2,2,0,0,0
"9683595",0,0,0,0,0,0,10,0,0,0,1,3,0,0,0
"27287710",0,1,0,0,0,0,7,0,0,0,0,0,0,0,0
"16698924",0,0,0,0,0,0,2,0,0,0,4,3,0,0,0
"16709250",0,0,0,0,0,0,6,0,0,0,0,2,0,0,0
"2300173",0,0,0,0,0,1,7,0,0,0,2,2,0,0,0
"8522947",0,0,0,0,0,0,8,0,0,0,3,3,0,0,0
"28994820",0,0,0,0,0,0,8,0,0,0,0,4,0,0,0
"29488136",0,0,0,0,0,0,1,0,0,0,0,5,0,0,0
"24189344",0,0,0,0,0,0,16,0,0,0,0,2,0,0,0
"25155876",0,0,0,0,0,0,3,0,0,0,0,1,0,0,0
"24267886",0,0,0,0,0,0,10,0,0,0,0,2,0,0,0
"25621899",0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
"25961944",0,0,0,0,0,0,11,0,0,0,0,0,0,0,0
"17486107",0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
"18711365",0,0,0,0,0,0,10,0,0,0,0,1,0,0,0
"19088739",0,0,0,0,0,0,10,0,0,0,0,2,0,0,0
"20185149",0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
"21893642",0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
"21926974",0,0,0,0,0,1,15,0,0,0,0,1,0,0,0
"22865819",0,0,0,0,0,1,11,0,0,0,0,0,0,0,0
"23390136",0,0,1,0,0,0,4,0,0,0,0,3,0,0,0
"23934111",0,0,0,0,0,0,8,0,0,0,0,2,0,0,0
"24821222",0,0,0,0,0,1,0,0,0,0,0,13,0,0,0
"25374361",0,0,0,0,0,0,3,0,0,0,0,3,0,0,0
"26055424",0,0,0,0,0,0,6,0,0,0,0,3,0,0,0
"26892727",0,0,0,0,0,1,5,0,0,0,0,0,0,0,0
"27956739",0,0,0,0,0,0,9,0,0,0,0,2,0,0,0
"28344757",0,0,0,0,0,1,10,0,0,0,0,2,0,0,0
"28472652",0,0,0,0,0,0,8,0,0,0,1,2,0,0,0
"28687526",0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
"30046097",0,0,0,0,0,1,3,0,0,0,1,5,0,0,0
"15184363",0,0,1,0,0,10,6,0,0,0,0,4,0,0,0
"17286281",0,0,1,0,0,2,5,0,0,0,0,6,0,0,0
"18252227",0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
"18377363",0,0,1,0,0,1,3,0,0,0,0,5,0,0,0
"18840648",0,0,0,0,0,5,6,0,0,0,1,3,0,0,0
"19920853",0,0,0,0,0,0,13,0,0,0,0,0,0,0,0
"21654729",0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
"21782149",0,0,1,0,0,0,11,0,0,0,0,2,0,0,0
"25125236",0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
"25167861",0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
"25284784",0,0,0,0,0,0,8,0,0,0,0,2,0,0,0
"25424714",0,0,0,0,0,0,13,0,0,0,0,1,0,0,0
"25473036",0,0,0,0,0,0,11,0,0,0,0,0,0,0,0
"25556659",0,0,0,0,0,6,7,0,0,0,0,8,0,0,0
"25574603",0,0,0,0,0,0,7,0,0,0,0,1,0,0,0
"25652421",0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
"27435318",0,0,0,0,0,0,12,0,0,0,0,1,0,0,0
